"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1380","Census Tract 224010","1","Census Tract 480302","1/1/2018 - 1/31/2018, Every day, Daily Average",1594,1109,2289
"1380","Census Tract 224010","2","Census Tract 480303","1/1/2018 - 1/31/2018, Every day, Daily Average",1429,1006,2028
"1380","Census Tract 224010","3","Census Tract 480304","1/1/2018 - 1/31/2018, Every day, Daily Average",1390,954,2023
"1380","Census Tract 224010","4","Census Tract 480400","1/1/2018 - 1/31/2018, Every day, Daily Average",1575,1099,2256
"1380","Census Tract 224010","5","Census Tract 480500","1/1/2018 - 1/31/2018, Every day, Daily Average",1706,1159,2510
"1380","Census Tract 224010","6","Census Tract 480704","1/1/2018 - 1/31/2018, Every day, Daily Average",1563,1098,2223
"1380","Census Tract 224010","7","Census Tract 480802","1/1/2018 - 1/31/2018, Every day, Daily Average",1114,763,1626
"1380","Census Tract 224010","8","Census Tract 480803","1/1/2018 - 1/31/2018, Every day, Daily Average",1381,962,1981
"1380","Census Tract 224010","9","Census Tract 480804","1/1/2018 - 1/31/2018, Every day, Daily Average",1469,1045,2064
"1380","Census Tract 224010","10","Census Tract 480901","1/1/2018 - 1/31/2018, Every day, Daily Average",1313,907,1900
"1380","Census Tract 224010","11","Census Tract 480902","1/1/2018 - 1/31/2018, Every day, Daily Average",1200,812,1772
"1380","Census Tract 224010","12","Census Tract 480903","1/1/2018 - 1/31/2018, Every day, Daily Average",885,572,1368
"1380","Census Tract 224010","13","Census Tract 481001","1/1/2018 - 1/31/2018, Every day, Daily Average",1290,864,1924
"1380","Census Tract 224010","14","Census Tract 481002","1/1/2018 - 1/31/2018, Every day, Daily Average",1469,981,2197
"1380","Census Tract 224010","15","Census Tract 481500","1/1/2018 - 1/31/2018, Every day, Daily Average",1002,654,1533
"1380","Census Tract 224010","16","Census Tract 481603","1/1/2018 - 1/31/2018, Every day, Daily Average",1248,822,1894
"1380","Census Tract 224010","17","Census Tract 481604","1/1/2018 - 1/31/2018, Every day, Daily Average",1272,827,1955
"1380","Census Tract 224010","18","Census Tract 481605","1/1/2018 - 1/31/2018, Every day, Daily Average",941,615,1439
"1380","Census Tract 224010","19","Census Tract 481606","1/1/2018 - 1/31/2018, Every day, Daily Average",1102,730,1661
"1380","Census Tract 224010","20","Census Tract 481800","1/1/2018 - 1/31/2018, Every day, Daily Average",1148,772,1706
"1380","Census Tract 224010","21","Census Tract 481901","1/1/2018 - 1/31/2018, Every day, Daily Average",1026,649,1620
"1380","Census Tract 224010","22","Census Tract 481902","1/1/2018 - 1/31/2018, Every day, Daily Average",808,517,1261
"1380","Census Tract 224010","23","Census Tract 430400","1/1/2018 - 1/31/2018, Every day, Daily Average",2074,1467,2931
"1380","Census Tract 224010","24","Census Tract 430600","1/1/2018 - 1/31/2018, Every day, Daily Average",2039,1464,2839
"1380","Census Tract 224010","25","Census Tract 430701","1/1/2018 - 1/31/2018, Every day, Daily Average",1884,1347,2633
"1380","Census Tract 224010","26","Census Tract 430721","1/1/2018 - 1/31/2018, Every day, Daily Average",2016,1457,2787
"1380","Census Tract 224010","27","Census Tract 430723","1/1/2018 - 1/31/2018, Every day, Daily Average",2119,1556,2884
"1380","Census Tract 224010","28","Census Tract 430724","1/1/2018 - 1/31/2018, Every day, Daily Average",1966,1420,2721
"1380","Census Tract 224010","29","Census Tract 430801","1/1/2018 - 1/31/2018, Every day, Daily Average",2198,1560,3095
"1380","Census Tract 224010","30","Census Tract 430802","1/1/2018 - 1/31/2018, Every day, Daily Average",2014,1361,2979
"1380","Census Tract 224010","31","Census Tract 430803","1/1/2018 - 1/31/2018, Every day, Daily Average",1871,1328,2634
"1380","Census Tract 224010","33","Census Tract 431502","1/1/2018 - 1/31/2018, Every day, Daily Average",1847,1201,2838
